element_name	kind	external_table	description
observation_longitude	numeric		Longitude of the observed value, -180 to 180 (or other as defined by CRS)
observation_latitude	numeric		Latitude of the observed value, -90 to 90 (or other as defined by CRS)
observation_location_method	int (fk)	location_method	Method of determining location, 
observation_location_precision	numeric		Precision to which location is reported (radius km)
observation_bounding_box_min_longitude	numeric		Bounding box for observation, valid range given by CRS
observation_bounding_box_max_longitude	numeric		Bounding box for observation, valid range given by CRS
observation_bounding_box_min_latitude	numeric		Bounding box for observation, valid range given by CRS
observation_bounding_box_max_latitude	numeric		Bounding box for observation, valid range given by CRS
observation_spatial_representativeness	int (fk)	spatial_representativeness	Spatial representativeness of observation
observation_height_above_station_surface	numeric		Height of sensor above local ground or sea surface. Positive values for above surface (e.g. sondes), negative for below (e.g. xbt). For visual observations, height of the visual observing platform.
observation_z_coordinate	numeric		z coordinate of observation
observation_z_coordinate_type	int (fk)	z_coordinate_type	Type of z coordinate
observation_z_coordinate_method	int (fk)	z_coordinate_method	Method of determining z coordinate
quality_flag	int (fk)	quality_flag	Quality flag for observation
numerical_precision	int		Reporting precision of observation in units given by 'units' variable. Equivalent to BUFR scale factor
standard_uncertainty	numeric		Standard uncertainty in reported value
method_of_estimating_standard_uncertainty	int (fk)	method_of_estimating_uncertainty	Method of estimating the standard uncertainty
sensor_id	int (fk)	sensor_configuration	NA
sensor_automation_status	int (fk)	automation_status	Automated, manual, mixed or visual observation
exposure_of_sensor	int (fk)	instrument_exposure_quality	Whether the exposure of the instrument will impact on the quality of the measurement
original_precision	int 		Original reporting precision in units given by 'original_units'
original_units	int (fk)	units	Original units 
original_value	numeric 		Original value as reported or recorded in log book.
conversion_method	int (fk)	conversion_method	Link to table describing conversion process
processing_code	int[] (fk)	processing_code	e.g. TRC (temperature radiation corrections) etc. Encoded in table.
processing_level	int (fk)	processing_level	Level of processing applied to observation.
adjustment_id	int (fk)	adjustment	Adjustment applied to observation reported in observation value (observation_value = original + adjustment)
traceability	int (fk)	traceability	Whether observation can be traced to international standards.
advanced_qc	int (fk)	NA	Whether there are advanced qc data available for this observation in qc_records table
advanced_uncertainty	flag	NA	Whether there are advanced uncertainty estimates for this observation in the uncertainty_budget table
