index	units	name	conventional_abbreviation	abbreviation_in_ASCII	abbreviation_in_ITA2	definition_in_base_units
80	713	millimetres to the sixth power per cubic metre	mm6 m-3 	mm6 m–3	NA	NA
81	715	centimetre 	cm 	cm 	CM	NA
82	716	centimetres per second 	cm s-1 	cm/s 	CM/S	NA
83	717	centimetres per hour 	cm h-1 	cm/h 	CM/HR	NA
84	720	decimetre 	dm 	dm 	DM	NA
85	731	metres per second 	m s-1 	m/s 	M/S	NA
86	732	metres per second per metre 	m s-1/m 	m s–1/m	NA	NA
87	733	metres per second per 1000 metres 	m s-1/1000 m 	m s–1/km	NA	NA
88	734	square metres	 m2 	m2 	M2	NA
89	735	square metres per second 	m2 s-1 	m2/s 	M2/S	NA
90	740	kilometre 	km 	km 	KM	NA
91	741	kilometres per hour 	km h-1 	km/h 	KM/HR	NA
92	742	kilometres per day 	km/d 	km/d 	KM/D	NA
93	743	per metre 	m-1 	m–1 	/M	NA
94	750	becquerels per litre 	Bq l-1 	Bq/l 	BQ/L	NA
95	751	becquerels per square metre 	Bq m-2 	Bq m–2 	BQ/M2	NA
96	752	becquerels per cubic metre 	Bq m-3 	Bq m–3 	BQ/M3	NA
97	753	millisievert 	mSv 	mSv 	MSV	NA
98	760	metres per second squared 	m s-2 	m s–2	NA	NA
99	761	square metres second 	m2 s 	m2 s	NA	NA
100	762	square metres per second squared 	m2 s-2 	m2 s–2	NA	NA
101	763	square metres per radian second 	m2 rad-1 s 	m2 rad–1 s	NA	NA
102	764	square metres per hertz 	m2 Hz-1 	m2/Hz	NA	NA
103	765	cubic metres 	m3 	m3	NA	NA
104	766	cubic metres per second 	m3 s-1 	m3/s	NA	NA
105	767	cubic metres per cubic metre 	m3 m-3 	m3 m–3	NA	NA
106	768	metres to the fourth power 	m4 	m4	NA	NA
107	769	metres to the two thirds power per second	m2/3 s-1 	m2/3 s–1	NA	NA
108	772	logarithm per metre 	log (m-1) 	log (m–1)	NA	NA
109	773	logarithm per square metre 	log (m-2) 	log (m–2)	NA	NA
110	775	kilograms per metre 	kg m-1 	kg/m	NA	NA
111	776	kilograms per square metre per second 	kg m-2 s–1 	kg m–2 s–1	NA	NA
112	777	kilograms per cubic metre 	kg m-3 	kg m–3	NA	NA
113	778	per square kilogram per second 	kg-2 s–1 	kg–2 s–1	NA	NA
114	779	seconds per metre 	s m-1 	s/m	NA	NA
115	785	kelvin metres per second 	K m s-1 	K m s–1	NA	NA
116	786	kelvins per metre 	K m-1 	K/m	NA	NA
117	787	kelvin square metres per kilogram per second	K m2 kg-1 s–1 	K m2 kg–1 s–1	NA	NA
118	788	moles per mole 	mol mol-1 	mol/mol	NA	NA
119	790	radians per metre 	rad m-1 	rad/m	NA	NA
120	795	newtons per square metre 	N m-2 	N m–2	NA	NA
121	800	pascals per second 	Pa s-1 	Pa/s	NA	NA
122	801	kilopascal 	kPa 	kPa	NA	NA
123	805	joules per square metre 	J m-2 	J m–2	NA	NA
124	806	joules per kilogram 	J kg-1 	J/kg	NA	NA
125	810	watts per metre per steradian 	W m-1 sr–1 W m–1 sr–1	NA	NA	NA
126	811	watts per square metre 	W m-2 	W m–2	NA	NA
127	812	watts per square metre per steradian 	W m-2 sr–1 	W m–2 sr–1	NA	NA
128	813	watts per square metre per steradian centimeter 	W m-2 sr–1 cm 	W m–2 sr–1 cm	NA	NA
129	814	watts per square metre per steradian metre	W m-2 sr–1 m 	W m–2 sr–1 m	NA	NA
130	815	watts per cubic metre per steradian 	W m-3 sr–1 	W m–3 sr–1	NA	NA
131	820	siemens per metre 	S m-1 	S/m	NA	NA
132	825	square degrees 	degree2 	deg2	NA	NA
133	830	becquerel seconds per cubic metre 	Bq s m-3 	Bq s m–3	NA	NA
134	835	decibels per metre 	dB m-1 	dB/m	NA	NA
135	836	decibels per degree 	dB degree-1 	dB/deg	NA	NA
136	841	pH unit 	pH unit 	pH unit	NA	NA
137	842	N units 	N units 	N units	NA	NA
138	843	Nephelometric turbidity units 	NTU 	NTU	NA	NA
139	no 	(yotta) 	(Y) 	(Y)	(Y)	NA
140	no 	(zetta) 	(Z)	 (Z)	 (Z)	NA
141	no 	exa 	E 	E	 E	NA
142	no 	peta 	P	P 	PE	NA
143	no 	tera 	 T	 T	T	NA
144	no 	giga 	G 	G 	G	NA
145	no 	mega 	M 	M	 MA	NA
146	no 	kilo 	k 	k 	K	NA
147	no 	hector	 h 	h 	H	NA
148	no 	deca 	da 	da	 DA	NA
149	no 	deci 	d 	d 	D	NA
150	no 	centi 	c 	c 	C	NA
151	no 	milli 	m 	m 	M	NA
152	no 	micro 	μ	 u 	U	NA
153	no 	nano 	n 	n 	N	NA
154	no 	pico 	p 	p 	P	NA
155	no 	femto 	f 	f 	F	NA
156	no 	atto 	a 	a 	A	NA
157	no 	(zepto) 	(z) 	(z)	NA	NA
158	no 	(yocto) 	(y) 	(y)	NA	NA
