observed_variable	parameter_group	domain	sub-domain	abbreviation	name	units	description / notes
42	humidity	atmospheric	surface; upper-air	t_wet	wet_bulb_temperature	K	NA
43	ice			ddd	ice_thickness	m	NA
44	precipitation	atmospheric		rr	accumulated_precipitation	mm	accumulated precipitation over specified period
45	precipitation	atmospheric		fs	fresh_snow	mm	NA
46	precipitation	atmospheric		ht	hydrometeor_type	Code table	NA
47	precipitation	atmospheric		rrls	precipitation  	g m-2 s-1	Precipitation (liquid or solid)
48	precipitation	atmospheric		rril	precipitation_instensity_liquid	mm h-1	Precipitation intensity at surface (liquid or solid)
49	precipitation	atmospheric		rris	precipitation_intensity_solid	mm h-1	Precipitation intensity at surface (solid)
50	precipitation	atmospheric		rrt	precipitation_type	coded	Liquid, snow, hail, fog
51	precipitation	atmospheric		nr	rainy_days	Days	NA
52	precipitation	atmospheric		sc	snow_cover	percent	NA
53	precipitation	atmospheric		sd	snow_depth	cm	NA
54	precipitation	atmospheric		sst	snow_status	coded	Wet | dry
55	precipitation	atmospheric		sw	snow_water_equivalent	mm	Surface snow amount
56	pressure	atmospheric	surface	atb	adjunct_temperature_barometer	C	temperature of the adjunct thermometer to the barometer to reduce pressure to 0ºC
57	pressure	atmospheric	surface	p	air_pressure	Pa	NA
58	pressure	atmospheric	surface	mslp	air_pressure_at_sea_level	Pa	sea_level means mean sea level,  which is close to the geoid in sea areas. Air pressure at sea level is the quantity often abbreviated as MSLP or PMSL.
59	pressure	atmospheric	surface	ppp	pressure_tendency	Pa	pressure tendency
60	pressure	atmospheric	surface	a	pressure_tendency_characteristics	coded	characteristic of pressure tendency (used in synoptic maps)
61	radiation	atmopsheric		dr	diffuse_radiation	W m-2	NA
62	radiation	atmopsheric		dlwie	downward_longwave_irradiance_at_earth_surface	W m-2	NA
63	radiation	atmopsheric		dswie	downward_shortwave_irradiance_at_earth_surface	W m-2	NA
64	radiation	atmopsheric		dswit	downward_shortwave_irradiance_at_toa	W m-2	NA
65	radiation	atmopsheric		eswr	earth_surface_shortwave_bidirectional_reflectance	percent	NA
66	radiation	atmopsheric		fapar	fraction_of_absorbed_par 	percent	FAPAR
67	radiation	atmopsheric		gr	global_radiation	W m-2	NA
68	radiation	atmopsheric		lwe	longwave_earth_surface_emissivity	percent	NA
69	radiation	atmopsheric		lr	longwave_radiation	W m-2	NA
70	radiation	atmopsheric		mor	meteorological_optical_range	m	Meteorological optical range at surface
71	radiation	atmopsheric		par	photosynthetically_active_radiation	W m-2	NA
72	radiation	atmopsheric		swcr	shortwave_cloud_reflectance	percent	NA
73	radiation	atmopsheric		sr	shortwave_radiation	W m-2	NA
74	radiation	atmopsheric		sgf	solar_gamma_ray_flux	W m-2	NA
75	radiation	atmopsheric		suf	solar_UV_flux	W m-2	NA
76	radiation	atmopsheric		svf	solar_VIS_flux	W m-2	NA
77	radiation	atmopsheric		sxf	solar_X_ray_flux	W m-2	NA
78	radiation	atmopsheric		ss	sunshine_duration 	h	NA
79	radiation	atmopsheric		ulwie	upward_longwave_irradiance_at_Earth_surface	W m-2	NA
80	radiation	atmopsheric		ulwit	upward_longwave_irradiance_at_TOA	W m-2	NA
81	radiation	atmopsheric		uswit	upward_shortwave_irradiance_at_TOA	W m-2	NA
82	radiation	atmopsheric		usrt	upward_spectral_radiance_at_TOA	W m-2 nm-1 sr-1  	NA
83	salinity	oceanic	surface; sub-surface	sal	salinity	psu	ocean salinity (PSU)
84	temperature	atmospheric	surface; upper-air	ta	air_temperature	C	NA
85	temperature	atmospheric	surface; upper-air	t_air	air_temperature	K	Air temperature is the bulk temperature of the air,  not the surface (skin) temperature.
86	temperature	atmospheric		t_max	daily_maximum_air_temperature	C	Lot 1 is using Tx - WMO abbrev.
87	temperature	atmospheric		t_max_sun	daily_maximum_air_temperature_with_direct_sun_exposure	C	Lot 1 is using Txs
88	temperature	atmospheric		t_max_g	daily_maximum_grass_temperature	C	Lot 1 is using TGx - Grass maximum thermometer is 5 cm above ground
89	temperature	atmospheric		t_min	daily_minimum_air_temperature	C	Lot 1 is using Tn - WMO abbrev.
90	temperature	atmospheric		t_min_sun	daily_minimum_air_temperature_with_direct_sun_exposure	C	Lot 1 is using Tns
91	temperature	atmospheric		t_min_g	daily_minimum_grass_temperature	C	Lot 1 is using TGn - Grass minimum thermometer is 5 cm above ground
92	temperature	atmospheric		days_frost	days_with ground_frost	Days	NA
93	temperature	atmospheric		t_snow	snow_temperature	C	NA
94	temperature	atmospheric		t_soil	soil_temperature	C	Lot 1 is using Ts - WMO abbrev.
95	temperature	oceanic	surface; sub-surface	t_water	water_temperature	K	Water (sea, river, lake) temperature at depth indicated
96	visibility	atmospheric	surface	vv	horizontal_visibility in air	m	The visibility is the distance at which something can be seen.
97	weather			ld	lightning_detection	deg (lat, lon) and UTC	NA
98	weather			ls	lightning_duration	s	NA
99	weather			lhd	lightning_horizontal_distance	Km	NA
100	weather	atmospheric	surface	w1	past_weather_1	coded	past weather 1 - most extreme phomenon  (w)
101	weather	atmospheric	surface	w2	past_weather_2	coded	past weather 2 - most frequent phomenon (used in synoptic maps)
102	weather	atmospheric	surface	ww	present_weather	coded	present weather (ww)
103	weather			tld	Total lightning density	Dimensionless	NA
104	wind	atmospheric	surface; upper-air	u	eastward_wind_speed	m s-1	Eastward indicates a vector component which is positive when directed eastward (negative westward). Wind is defined as a two-dimensional (horizontal) air velocity vector,  with no vertical component. (Vertical motion in the atmosphere has the standard name upward_air_velocity.)
105	wind	atmospheric	surface; upper-air	v	northward_wind_speed	m s-1	Northward indicates a vector component which is positive when directed northward (negative southward). Wind is defined as a two-dimensional (horizontal) air velocity vector,  with no vertical component. (Vertical motion in the atmosphere has the standard name upward_air_velocity.)
106	wind	atmospheric	surface; upper-air	d	wind_from_direction	degree	direction from which the wind is blowing Lot 1 uses dd  - WMO abbrev.
107	wind	atmospheric	surface; upper-air	w	wind_speed	m s-1	Speed is the magnitude of velocity. Wind is defined as a two-dimensional (horizontal) air velocity vector,  with no vertical component. (Vertical motion in the atmosphere has the standard name upward_air_velocity.) The wind speed is the magnitude of the wind velocity. Lot 1 uses ff  - WMO abbrev.
108	wind	atmospheric	surface	w_gust	wind_speed_of_gust	m s-1	Speed is the magnitude of velocity. Wind is defined as a two-dimensional (horizontal) air velocity vector,  with no vertical component. (Vertical motion in the atmosphere has the standard name upward_air_velocity.) The wind speed is the magnitude of the wind velocity. A gust is a sudden brief period of high wind speed. In an observed timeseries of wind speed,  the gust wind speed can be indicated by a cell_methods of maximum for the time-interval. In an atmospheric model which has a parametrised calculation of gustiness,  the gust wind speed may be separately diagnosed from the wind speed. Lot 1 uses fx  - WMO abbrev.
109	wind	atmospheric		w_max	wind_speed_max	m s-1	Maximum observed wind speed over specified period Lot 1 uses fm  - WMO abbrev.
110				turb	turbulence	J m-3	NA
