value	field_number	field_name	code_value	abbreviation	description	start_date	end_date
123	15	radiosonde_sounding_system	91	49	VIZ MARK II (United States)	30/06/2007	NULL
124	15	radiosonde_sounding_system	92	50	Graw DFM-90 (Germany)	01/01/1900	30/06/2007
125	15	radiosonde_sounding_system	93	50	Meteolabor SRS-C50/Argus (Switzerland)	02/11/2016	NULL
126	15	radiosonde_sounding_system	94	51	Not vacant	01/01/1900	30/06/2007
127	15	radiosonde_sounding_system	95	51	VIZ-B2 (United States)	30/06/2007	NULL
128	15	radiosonde_sounding_system	96	52	Vaisala RS80-57H	01/01/1900	30/06/2007
129	15	radiosonde_sounding_system	97	52	Vaisala RS92-NGP/Intermet IMS-2000 (United States)	03/11/2011	NULL
130	15	radiosonde_sounding_system	98	53	AVK - I-2012 (Russian Federation)	01/01/1900	30/06/2007
131	15	radiosonde_sounding_system	99	53	AVK-RF95 (Russian Federation)	06/05/2015	NULL
132	15	radiosonde_sounding_system	100	54	Graw DFM-97 (Germany)	01/01/1900	30/06/2007
133	15	radiosonde_sounding_system	101	54	Not vacant	30/06/2007	NULL
134	15	radiosonde_sounding_system	102	55	Meisei RS-01G (Japan)	01/01/1900	30/06/2007
135	15	radiosonde_sounding_system	103	55	Not vacant	30/06/2007	NULL
136	15	radiosonde_sounding_system	104	56	M2K2 (France)	01/01/1900	30/06/2007
137	15	radiosonde_sounding_system	105	56	Not vacant	30/06/2007	NULL
138	15	radiosonde_sounding_system	106	57	Modem M2K2-DC (France)	01/01/1900	30/06/2007
139	15	radiosonde_sounding_system	107	57	Not vacant	30/06/2007	NULL
140	15	radiosonde_sounding_system	108	58	AVK-BAR (Russian Federation)	01/01/1900	30/06/2007
141	15	radiosonde_sounding_system	109	58	Not vacant	30/06/2007	NULL
142	15	radiosonde_sounding_system	110	59	Modem M2K2-R 1680 MHz RDF radiosonde with pressure sensor chip (France)	01/01/1900	30/06/2007
143	15	radiosonde_sounding_system	111	59	Not vacant	30/06/2007	NULL
144	15	radiosonde_sounding_system	112	60	MARL-A or Vektor-M - I-2012 (Russian Federation)	01/01/1900	30/06/2007
145	15	radiosonde_sounding_system	113	60	Vaisala RS80/MicroCora (Finland)	06/05/2015	NULL
146	15	radiosonde_sounding_system	114	61	Not vacant	01/01/1900	30/06/2007
147	15	radiosonde_sounding_system	115	61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)	30/06/2007	NULL
148	15	radiosonde_sounding_system	116	62	MARL-A or Vektor-M - MRZ-3MK (Russian Federation)	01/01/1900	30/06/2007
149	15	radiosonde_sounding_system	117	62	Vaisala RS80/PCCora (Finland)	06/05/2015	NULL
150	15	radiosonde_sounding_system	118	63	Vacant	01/01/1900	30/06/2007
151	15	radiosonde_sounding_system	119	63	Vaisala RS80/Star (Finland)	30/06/2007	NULL
152	15	radiosonde_sounding_system	120	64	Orbital Sciences Corporation, Space Data Division, transponder radiosonde, type 909-11-XX, where XX corresponds to the model of the instrument (United States)	01/01/1900	30/06/2007
153	15	radiosonde_sounding_system	121	64	Vacant	30/06/2007	NULL
154	15	radiosonde_sounding_system	122	65	Vacant	01/01/1900	30/06/2007
155	15	radiosonde_sounding_system	123	65	VIZ transponder radiosonde, model number 1499-520 (United States)	30/06/2007	NULL
156	15	radiosonde_sounding_system	124	66	Vacant	01/01/1900	30/06/2007
157	15	radiosonde_sounding_system	125	66	Vaisala RS80 /Autosonde (Finland)	30/06/2007	NULL
158	15	radiosonde_sounding_system	126	67	Not vacant	01/01/1900	30/06/2007
159	15	radiosonde_sounding_system	127	67	Vaisala RS80/Digicora III (Finland)	30/06/2007	NULL
160	15	radiosonde_sounding_system	128	68	AVK-RZM-2 (Russian Federation)	01/01/1900	30/06/2007
161	15	radiosonde_sounding_system	129	68	Not vacant	30/06/2007	NULL
162	15	radiosonde_sounding_system	130	69	MARL-A or Vektor-M-RZM-2 (Russian Federation)	01/01/1900	30/06/2007
163	15	radiosonde_sounding_system	131	69	Not vacant	30/06/2007	NULL
164	15	radiosonde_sounding_system	132	70	Not vacant	01/01/1900	30/06/2007
165	15	radiosonde_sounding_system	133	70	Vaisala RS92/Star (Finland)	30/06/2007	NULL
166	15	radiosonde_sounding_system	134	71	Not vacant	01/01/1900	30/06/2007
167	15	radiosonde_sounding_system	135	71	Vaisala RS90/Loran/Digicora I, II or Marwin (Finland)	30/06/2007	NULL
168	15	radiosonde_sounding_system	136	72	Not vacant	01/01/1900	30/06/2007
169	15	radiosonde_sounding_system	137	72	Vaisala RS90/PC-Cora (Finland)	30/06/2007	NULL
170	15	radiosonde_sounding_system	138	73	MARL-A (Russian Federation) - ASPAN-15 (Kazakhstan)	01/01/1900	30/06/2007
171	15	radiosonde_sounding_system	139	73	Vaisala RS90/Autosonde (Finland)	02/11/2016	NULL
172	15	radiosonde_sounding_system	140	74	Not vacant	01/01/1900	30/06/2007
173	15	radiosonde_sounding_system	141	74	Vaisala RS90/Star (Finland)	30/06/2007	NULL
174	15	radiosonde_sounding_system	142	75	AVK-MRZ-ARMA (Russian Federation)	01/01/1900	30/06/2007
175	15	radiosonde_sounding_system	143	75	Not vacant	30/06/2007	NULL
176	15	radiosonde_sounding_system	144	76	AVK-RF95-ARMA (Russian Federation)	01/01/1900	30/06/2007
177	15	radiosonde_sounding_system	145	76	Not vacant	30/06/2007	NULL
178	15	radiosonde_sounding_system	146	77	GEOLINK GPSonde GL98 (France)	01/01/1900	30/06/2007
179	15	radiosonde_sounding_system	147	77	Modem GPSonde M10 (France)	15/03/2010	NULL
180	15	radiosonde_sounding_system	148	78	Not vacant	01/01/1900	30/06/2007
181	15	radiosonde_sounding_system	149	78	Vaisala RS90/Digicora III (Finland)	30/06/2007	NULL
182	15	radiosonde_sounding_system	150	79	Not vacant	01/01/1900	30/06/2007
183	15	radiosonde_sounding_system	151	79	Vaisala RS92/Digicora I, II or Marwin (Finland)	30/06/2007	NULL
184	15	radiosonde_sounding_system	152	80	Not vacant	01/01/1900	30/06/2007
185	15	radiosonde_sounding_system	153	80	Vaisala RS92/Digicora III (Finland)	30/06/2007	NULL
186	15	radiosonde_sounding_system	154	81	Not vacant	01/01/1900	30/06/2007
187	15	radiosonde_sounding_system	155	81	Vaisala RS92/Autosonde (Finland)	30/06/2007	NULL
188	15	radiosonde_sounding_system	156	82	Lockheed Martin LMS-6 w/chip thermistor; external boom mounted polymer capacitive relative humidity sensor; capacitive pressure sensor and GPS wind	01/01/1900	30/06/2007
189	15	radiosonde_sounding_system	157	82	Sippican MK2 GPS/STAR (United States) with rod thermistor, carbon element and derived pressure	07/11/2012	NULL
190	15	radiosonde_sounding_system	158	83	Sippican MK2 GPS/W9000 (United States) with rod thermistor, carbon element and derived pressure	01/01/1900	30/06/2007
191	15	radiosonde_sounding_system	159	83	Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive pressure sensor, capacitive wire temperature sensor, twin thin-film heated polymer capacitive relative humidity sensor and RDF wind	07/11/2012	NULL
192	15	radiosonde_sounding_system	160	84	Sippican MARK II with chip thermistor, carbon element and derived pressure from GPS height	01/01/1900	30/06/2007
193	15	radiosonde_sounding_system	161	84	Vacant	30/06/2007	NULL
194	15	radiosonde_sounding_system	162	85	Not vacant	01/01/1900	30/06/2007
195	15	radiosonde_sounding_system	163	85	Sippican MARK IIA with chip thermistor, carbon element and derived pressure from GPS height	30/06/2007	NULL
196	15	radiosonde_sounding_system	164	86	Not vacant	01/01/1900	30/06/2007
197	15	radiosonde_sounding_system	165	86	Sippican MARK II with chip thermistor, pressure and carbon element	30/06/2007	NULL
198	15	radiosonde_sounding_system	166	87	Not vacant	01/01/1900	30/06/2007
199	15	radiosonde_sounding_system	167	87	Sippican MARK IIA with chip thermistor, pressure and carbon element	30/06/2007	NULL
200	15	radiosonde_sounding_system	168	88	MARL-A or Vektor-M-MRZ (Russian Federation)	01/01/1900	30/06/2007
201	15	radiosonde_sounding_system	169	88	Not vacant	30/06/2007	NULL
202	15	radiosonde_sounding_system	170	89	MARL-A or Vektor-M-BAR (Russian Federation)	01/01/1900	30/06/2007
203	15	radiosonde_sounding_system	171	89	Not vacant	30/06/2007	NULL
204	15	radiosonde_sounding_system	172	90	Radiosonde not specified or unknown	NULL	30/06/2007
205	15	radiosonde_sounding_system	173	91	Pressure only radiosonde	NULL	30/06/2007
206	15	radiosonde_sounding_system	174	92	Pressure only radiosonde plus transponder	NULL	30/06/2007
207	15	radiosonde_sounding_system	175	93	Pressure only radiosonde plus radar reflector	NULL	30/06/2007
208	15	radiosonde_sounding_system	176	94	No pressure radiosonde plus transponder	NULL	30/06/2007
209	15	radiosonde_sounding_system	177	95	No pressure radiosonde plus radar reflector	NULL	30/06/2007
210	15	radiosonde_sounding_system	178	96	Descending radiosonde	NULL	30/06/2007
211	15	radiosonde_sounding_system	179	97	BAT-16P (South Africa)	01/01/1900	30/06/2007
212	15	radiosonde_sounding_system	180	97	Not vacant	30/06/2007	NULL
213	15	radiosonde_sounding_system	181	98	BAT-16G (South Africa)	01/01/1900	30/06/2007
214	15	radiosonde_sounding_system	182	98	Not vacant	30/06/2007	NULL
215	15	radiosonde_sounding_system	183	99	BAT-4G (South Africa)	NA	NA
216	15	radiosonde_sounding_system	184	99	Not vacant	NA	NA
218	16	radiosonde_completeness	0	1	Pressure only radiosonde	NA	NA
219	16	radiosonde_completeness	1	2	Pressure only radiosonde plus trasnponder	NA	NA
220	16	radiosonde_completeness	2	3	Pressure only radiosonde plus radar reflector	NA	NA
221	16	radiosonde_completeness	3	4	No-pressure radiosonde plus transponder	NA	NA
222	16	radiosonde_completeness	4	5	No-pressure radiosonde plus radar reflector	NA	NA
223	17	radiosonde_computational_method	0	TBD	NA	NA	NA
225	19	radiosonde_ground_receiving_system	0	0	InterMet IMS 2000	NA	NA
226	19	radiosonde_ground_receiving_system	1	1	InterMet IMS 1500C	NA	NA
227	19	radiosonde_ground_receiving_system	2	2	Shanghai GTC1	NA	NA
228	19	radiosonde_ground_receiving_system	3	3	Nanjing GTC2	NA	NA
229	19	radiosonde_ground_receiving_system	4	4	Nanjing GFE(L)1	NA	NA
230	19	radiosonde_ground_receiving_system	5	5	MARL-A radar	NA	NA
231	19	radiosonde_ground_receiving_system	6	6	VEKTOR-M radar	NA	NA
232	20	radiosonde_type 	NA	NA	Common code table C2	NA	NA
233	21	reason_for_termination	NA	NA	Place holder	NA	NA
234	22	solar_and_infrared_radiation_correction	0	0	No correction	NA	NA
235	22	solar_and_infrared_radiation_correction	1	1	CIMO solar corrected and CIMO infrared corrected	NA	NA
236	22	solar_and_infrared_radiation_correction	2	2	CIMO solar corrected and infrared corrected	NA	NA
237	22	solar_and_infrared_radiation_correction	3	3	CIMO solar corrected only	NA	NA
238	22	solar_and_infrared_radiation_correction	4	4	Solar and infrared corrected automatically by radiosonde system	NA	NA
239	22	solar_and_infrared_radiation_correction	5	5	Solar corrected automatically by radiosonde system	NA	NA
240	22	solar_and_infrared_radiation_correction	6	6	Solar and infrared corrected as specified by country	NA	NA
241	22	solar_and_infrared_radiation_correction	7	7	Solar corrected as specified by country	NA	NA
242	22	solar_and_infrared_radiation_correction	8	8	Solar and infrared correction as specified by GRUAN	NA	NA
243	22	solar_and_infrared_radiation_correction	9	9	Solar corrected as specified by GRUAN	NA	NA
244	23	tracking_technique	NA	NA	common code table C7	NA	NA
245	24	type_of_balloon	0	0	GP26	NA	NA
246	24	type_of_balloon	1	1	GP28	NA	NA
247	24	type_of_balloon	2	2	GP30	NA	NA
248	24	type_of_balloon	3	3	HM26	NA	NA
249	24	type_of_balloon	4	4	HM28	NA	NA
250	24	type_of_balloon	5	5	HM30	NA	NA
251	24	type_of_balloon	6	6	SV16	NA	NA
252	24	type_of_balloon	7	7	Totex TA type balloons	NA	NA
253	24	type_of_balloon	8	8	Totex TX type balloons	NA	NA
254	25	type_of_balloon_shelter	NA	NA	Place holder	NA	NA
255	26	type_of_gas_used_in_balloon	NA	NA	Place holder	NA	NA
256	27	type_of_measuring_equipment_used	0	0	Pressure instrument associated with wind measuring equipment	NA	NA
257	27	type_of_measuring_equipment_used	1	1	Optical theodolite	NA	NA
258	27	type_of_measuring_equipment_used	2	2	Radio theodolite	NA	NA
259	27	type_of_measuring_equipment_used	3	3	Radar	NA	NA
260	27	type_of_measuring_equipment_used	4	4	VLF-Omega	NA	NA
261	27	type_of_measuring_equipment_used	5	5	Loran-C	NA	NA
262	27	type_of_measuring_equipment_used	6	6	Wind profiler	NA	NA
263	27	type_of_measuring_equipment_used	7	7	Satellite navigation	NA	NA
264	27	type_of_measuring_equipment_used	8	8	Radio-acoustic Sounding System (RASS)	NA	NA
265	27	type_of_measuring_equipment_used	9	9	Sodar	NA	NA
266	27	type_of_measuring_equipment_used	10	14	Pressure instrument associated with wind measuring equipment but pressure element failed during ascent	NA	NA
267	27	type_of_measuring_equipment_used	11	15	Missing value	NA	NA
268	27	type_of_measuring_equipment_used	12	10 - 13	Reserved	NA	NA
269	28	type_of_pressure_sensor	0	0	Capacitance aneroid	NA	NA
270	28	type_of_pressure_sensor	1	1	Derived from GPS	NA	NA
271	28	type_of_pressure_sensor	2	2	Resistive strain gauge	NA	NA
272	28	type_of_pressure_sensor	3	3	Silicon capacitor	NA	NA
273	28	type_of_pressure_sensor	4	4	Derived from radar height	NA	NA
274	29	unwinder_type		NA	STRING	NA	NA
275	30	water_temperature_profile_recorder_type	NA	NA	Place holder / TBD (check BUFR tables)	NA	NA
276	31	XBT_launcher_type	NA	NA	Place holder / TBD (check BUFR tables)	NA	NA
