# Description:
# Source:
Value	Units	Conventional abbreviation	Abbreviation in IA5/ASCII	Abbreviation in ITA2	Definition in base units
787	kelvin square metres per kilogram per second	K m2 kg-1 s–1 	K m2 kg–1 s–1	NA	NA
788	moles per mole 	mol mol-1 	mol/mol	NA	NA
790	radians per metre 	rad m-1 	rad/m	NA	NA
795	newtons per square metre 	N m-2 	N m–2	NA	NA
800	pascals per second 	Pa s-1 	Pa/s	NA	NA
801	kilopascal 	kPa 	kPa	NA	NA
805	joules per square metre 	J m-2 	J m–2	NA	NA
806	joules per kilogram 	J kg-1 	J/kg	NA	NA
810	watts per metre per steradian 	W m-1 sr–1 W m–1 sr–1	NA	NA	NA
811	watts per square metre 	W m-2 	W m–2	NA	NA
812	watts per square metre per steradian 	W m-2 sr–1 	W m–2 sr–1	NA	NA
813	watts per square metre per steradian centimeter 	W m-2 sr–1 cm 	W m–2 sr–1 cm	NA	NA
814	watts per square metre per steradian metre	W m-2 sr–1 m 	W m–2 sr–1 m	NA	NA
815	watts per cubic metre per steradian 	W m-3 sr–1 	W m–3 sr–1	NA	NA
820	siemens per metre 	S m-1 	S/m	NA	NA
825	square degrees 	degree2 	deg2	NA	NA
830	becquerel seconds per cubic metre 	Bq s m-3 	Bq s m–3	NA	NA
835	decibels per metre 	dB m-1 	dB/m	NA	NA
836	decibels per degree 	dB degree-1 	dB/deg	NA	NA
841	pH unit 	pH unit 	pH unit	NA	NA
842	N units 	N units 	N units	NA	NA
843	Nephelometric turbidity units 	NTU 	NTU	NA	NA
no 	(yotta) 	(Y) 	(Y)	(Y)	NA
no 	(zetta) 	(Z)	 (Z)	 (Z)	NA
no 	exa 	E 	E	 E	NA
no 	peta 	P	P 	PE	NA
no 	tera 	 T	 T	T	NA
no 	giga 	G 	G 	G	NA
no 	mega 	M 	M	 MA	NA
no 	kilo 	k 	k 	K	NA
no 	hector	 h 	h 	H	NA
no 	deca 	da 	da	 DA	NA
no 	deci 	d 	d 	D	NA
no 	centi 	c 	c 	C	NA
no 	milli 	m 	m 	M	NA
no 	micro 	μ	 u 	U	NA
no 	nano 	n 	n 	N	NA
no 	pico 	p 	p 	P	NA
no 	femto 	f 	f 	F	NA
no 	atto 	a 	a 	A	NA
no 	(zepto) 	(z) 	(z)	NA	NA
no 	(yocto) 	(y) 	(y)	NA	NA
