Value	Abbreviation	Standard Name	Units	Description	Code space	Code space Index
23		altimeter_range_correction_due_to_dry_troposphere	m	The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.   To apply the altimeter range correction it must be added to the quantity with standard name altimeter_range.  ''Correction_due_to_dry_troposphere'' means a correction for dry gases in the troposphere, i.e. excluding the effect of liquid water.  Additional altimeter range corrections are given by the quantities with standard names altimeter_range_correction_due_to_wet_troposphere, altimeter_range_correction_due_to_ionosphere, sea_surface_height_correction_due_to_air_pressure_at_low_frequency and sea_surface_height_correction_due_to_air_pressure_and_wind_at_high_frequency.	CF-44	
24		altimeter_range_correction_due_to_ionosphere	m	The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.   To apply the altimeter range correction it must be added to the quantity with standard name altimeter_range.  ''Correction_due_to_ionosphere'' means a correction for the atmosphere's electron content in the ionosphere. Additional altimeter range corrections are given by the quantities with standard names altimeter_range_correction_due_to_wet_troposphere, altimeter_range_correction_due_to_dry_troposphere, sea_surface_height_correction_due_to_air_pressure_at_low_frequency and sea_surface_height_correction_due_to_air_pressure_and_wind_at_high_frequency.	CF-44	
25		altimeter_range_correction_due_to_wet_troposphere	m	The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.   To apply the altimeter range correction it must be added to the quantity with standard name altimeter_range.  ''Correction_due_to_wet_troposphere'' means a correction for the effect of liquid water in the troposphere.  Additional altimeter range corrections are given by the quantities with standard names altimeter_range_correction_due_to_dry_troposphere, altimeter_range_correction_due_to_ionosphere, sea_surface_height_correction_due_to_air_pressure_at_low_frequency and sea_surface_height_correction_due_to_air_pressure_and_wind_at_high_frequency.	CF-44	
26		altitude	m	Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.	CF-44	
27		altitude_at_top_of_dry_convection	m	Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.	CF-44	
28		ambient_aerosol_particle_diameter	m	Aerosol means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''.	CF-44	
29		amplitude_of_global_average_sea_level_change	m	Global average sea level change is due to change in volume of the water in the ocean, caused by mass and/or density change, or to change in the volume of the ocean basins, caused by tectonics etc. It is sometimes called ''eustatic'', which is a term that also has other definitions. It differs from the change in the global average sea surface height relative to the centre of the Earth by the global average vertical movement of the ocean floor. Zero sea level change is an arbitrary level. Amplitude is the magnitude of a wave modelled by a sinusoidal function. A coordinate variable of harmonic_period should be used to specify the period of the sinusoidal wave.	CF-44	
30		angle_of_emergence	degree	The angle of emergence is that between the direction of a beam of radiation emerging from the surface of a medium and the normal to that surface.	CF-44	
31		angle_of_incidence	degree	The angle of incidence is that between the direction of approach of a beam of radiation toward a surface and the normal to that surface.	CF-44	
32		angle_of_rotation_from_east_to_x	degree	The quantity with standard name angle_of_rotation_from_east_to_x is the angle, anticlockwise reckoned positive, between due East and (dr/di)jk, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k).  It could be used for rotating vector fields between model space and latitude-longitude space.	CF-44	
33		angle_of_rotation_from_east_to_y	degree	The quantity with standard name angle_of_rotation_from_east_to_y is the angle, anticlockwise reckoned positive, between due East and (dr/dj)ik, where r(i,j,k) is the vector 3D position of the point with coordinate indices (i,j,k).  It could be used for rotating vector fields between model space and latitude-longitude space.	CF-44	
34		angle_of_rotation_from_solar_azimuth_to_platform_azimuth	degree	Standard names for ''platform'' describe the motion and orientation of the vehicle from which observations are made e.g. aeroplane, ship or satellite. An angle of rotation is reckoned positive in the anticlockwise direction. The ''angle_of_rotation_from_solar_azimuth_to_platform_azimuth'' is the angle of rotation between the solar azimuth angle and the platform azimuth angle. Solar azimuth angle is the horizontal angle between the line of sight from the observation point to the sun and a reference direction at the observation point, which is often due north. The angle is measured clockwise, starting from the reference direction. Platform azimuth angle is the horizontal angle between the line of sight from the observation point to the platform and a reference direction at the observation point, which is often due north. The angle is measured clockwise, starting from the reference direction.	CF-44	
35		angstrom_exponent_of_ambient_aerosol_in_air	1	The ''Angstrom exponent'' appears in the formula relating aerosol optical thickness to the wavelength of incident radiation: T(lambda) = T(lambda0) * [lambda/lambda0] ** (-1 * alpha) where alpha is the Angstrom exponent, lambda is the wavelength of incident radiation, lambda0 is a reference wavelength, T(lambda) and T(lambda0) are the values of aerosol optical thickness at wavelengths lambda and lambda0, respectively. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''.	CF-44	
36		apparent_oxygen_utilization	mol kg-1	Apparent Oxygen Utilization (AOU) is the difference between measured dissolved oxygen concentration in water, and the equilibrium saturation concentration of dissolved oxygen in water with the same physical and chemical properties. Reference: Broecker, W. S. and T. H. Peng (1982), Tracers in the Sea, Lamont-Doherty Earth Observatory, Palisades, N. Y.	CF-44	
37		area_fraction	1	Area fraction means the fraction of horizontal area. To specify which area is quantified by a variable of ''area_fraction'', provide a coordinate variable or scalar coordinate variable of ''area_type''. Alternatively, if one is defined, use a more specific standard name of ''X_area_fraction'' for the fraction of horizontal area occupied by X.	CF-44	
38		area_fraction_below_surface	1	The surface called ''surface'' means the lower boundary of the atmosphere. The fraction of horizontal area where the surface specified by the axes other than horizontal axes, for instance an isobaric surface, is below the (ground or sea) surface.	CF-44	
39		area_fraction_of_day_defined_by_solar_zenith_angle	1	X_area_fraction means the fraction of horizontal area occupied by X. ''X_area'' means the horizontal area occupied by X within the grid cell. A coordinate variable of solar_zenith_angle indicating the day extent should be specified.	CF-44	
40		area_fraction_of_night_defined_by_solar_zenith_angle	1	X_area_fraction means the fraction of horizontal area occupied by X. ''X_area'' means the horizontal area occupied by X within the grid cell. A coordinate variable of solar_zenith_angle indicating the night extent should be specified.	CF-44	
41		area_fraction_of_twilight_defined_by_solar_zenith_angle	1	X_area_fraction means the fraction of horizontal area occupied by X. ''X_area'' means the horizontal area occupied by X within the grid cell. A coordinate variable of solar_zenith_angle indicating the twilight extent should be specified.	CF-44	
42		area_type	NA	A variable with the standard name of area_type contains strings which indicate the nature of the surface e.g. land, sea, sea_ice. These strings are standardised.  Values must be taken from the area_type table.	CF-44	
43		atmosphere_absolute_vorticity	s-1	Absolute vorticity is the sum of relative vorticity and the upward component of vorticity due to the Earth's rotation.	CF-44	
44		atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles	1	The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ''Absorption optical thickness'' means that part of the atmosphere optical thickness that is caused by the absorption of incident radiation. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.	CF-44	
45		atmosphere_absorption_optical_thickness_due_to_black_carbon_ambient_aerosol	1	The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path.  A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ''Absorption optical thickness'' means that part of the atmosphere optical thickness that is caused by the absorption of incident radiation. ''Aerosol'' means the suspended liquid or solid particles in air (except cloud droplets).  ''Ambient aerosol'' is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol. The specification of a physical process by the phrase due_to_process means that the quantity named is a  single term in a sum of terms which together compose the general quantity  named by omitting the phrase.	CF-44	
46		atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol_particles	1	The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ''Absorption optical thickness'' means that part of the atmosphere optical thickness that is caused by the absorption of incident radiation. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.	CF-44	
47		atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles	1	The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ''Absorption optical thickness'' means that part of the atmosphere optical thickness that is caused by the absorption of incident radiation. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.	CF-44	
48		atmosphere_absorption_optical_thickness_due_to_seasalt_ambient_aerosol_particles	1	The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ''Absorption optical thickness'' means that part of the atmosphere optical thickness that is caused by the absorption of incident radiation. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.	CF-44	
49		atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles	1	The optical thickness is the integral along the path of radiation of a volume scattering/absorption/attenuation coefficient. The radiative flux is reduced by a factor exp(-optical_thickness) on traversing the path. A coordinate variable of radiation_wavelength or radiation_frequency can be specified to indicate that the optical thickness applies at specific wavelengths or frequencies. ''Absorption optical thickness'' means that part of the atmosphere optical thickness that is caused by the absorption of incident radiation. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. ''Ambient_aerosol'' means that the aerosol is measured or modelled at the ambient state of pressure, temperature and relative humidity that exists in its immediate environment. ''Ambient aerosol particles'' are aerosol particles that have taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the particles. To specify the relative humidity and temperature at which the quantity described by the standard name applies, provide scalar coordinate variables with standard names of ''relative_humidity'' and ''air_temperature''. The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase.	CF-44	
50		atmosphere_boundary_layer_thickness	m	The atmosphere boundary layer thickness is the ''depth'' or ''height'' of the (atmosphere) planetary boundary layer.	CF-44	
51		atmosphere_convective_available_potential_energy	J kg-1	Convective(ly) available potential energy (often abbreviated CAPE) is a stability measure calculated by integrating the positive temperature difference between the surrounding atmosphere and a parcel of air lifted adiabatically from a given starting height to its equilibrium level. A coordinate variable of original_air_pressure_of_lifted_parcel should be specified to indicate the starting height of the lifted parcel. CAPE exists under conditions of potential instability, and measures the potential energy per unit mass that would be released by the unstable parcel if it were able to convect upwards to equilibrium.	CF-44	
52		atmosphere_convective_available_potential_energy_wrt_surface	J kg -1	Convective(ly) available potential energy (often abbreviated CAPE) is a stability measure calculated by integrating the positive temperature difference between the surrounding atmosphere and a parcel of air lifted adiabatically from the surface to its equilibrium level. CAPE exists under conditions of potential instability, and measures the potential energy per unit mass that would be released by the unstable parcel if it were able to convect upwards to equilibrium.	CF-44	
53		atmosphere_convective_inhibition	J kg -1	Convective inhibition is the amount of energy per unit mass required to overcome the negatively buoyant energy exerted by the environment on a parcel of air.  Convective inhibition is often abbreviated as ''CIN'' or ''CINH''.  It is calculated by integrating the negative temperature difference between the surrounding atmosphere and a parcel of air lifted adiabatically from a given starting height to its equilibrium level. A coordinate variable of original_air_pressure_of_lifted_parcel should be specified to indicate the starting height of the lifted parcel.	CF-44	
54		atmosphere_convective_inhibition_wrt_surface	J kg -1	Convective inhibition is the amount of energy per unit mass required to overcome the negatively buoyant energy exerted by the environment on a parcel of air.  Convective inhibition is often abbreviated as ''CIN'' or ''CINH''.  It is calculated by integrating the negative temperature difference between the surrounding atmosphere and a parcel of air lifted adiabatically from the surface to its equilibrium level.	CF-44	
55		atmosphere_downdraft_convective_mass_flux	kg m-2 s-1	In accordance with common usage in geophysical disciplines, ''flux'' implies per unit area, called ''flux density'' in physics.  The atmosphere convective mass flux is the vertical transport of mass for a field of cumulus clouds or thermals, given by the product of air density and vertical velocity. For an area-average, cell_methods should specify whether the average is over all the area or the area of updrafts and/or downdrafts only.  ''Downdraft'' means that the flux is positive in the downward direction (negative upward).	CF-44	
56		atmosphere_dry_energy_content	J m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. Dry energy is the sum of dry static energy and kinetic energy. Dry static energy is the sum of enthalpy and potential energy (itself the sum of gravitational and centripetal potential energy). Enthalpy can be written either as (1) CpT, where Cp is heat capacity at constant pressure, T is absolute temperature, or (2) U+pV, where U is internal energy, p is pressure and V is volume.	CF-44	
57		atmosphere_dry_static_energy_content	J m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. Dry static energy is the sum of enthalpy and potential energy (itself the sum of gravitational and centripetal potential energy). Enthalpy can be written either as (1) CpT, where Cp is heat capacity at constant pressure, T is absolute temperature, or (2) U+pV, where U is internal energy, p is pressure and V is volume.	CF-44	
58		atmosphere_eastward_stress_due_to_gravity_wave_drag	Pa	The specification of a physical process by the phrase due_to_process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ''Eastward'' indicates a vector component which is positive when directed eastward (negative westward). Atmosphere_Xward_stress is a stress which tends to accelerate the atmosphere in direction X.	CF-44	
59		atmosphere_energy_content	J m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. ''Atmosphere energy content'' has not yet been precisely defined! Please express your views on this quantity on the CF email list.	CF-44	
60		atmosphere_enthalpy_content	J m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. Enthalpy can be written either as (1) CpT, where Cp is heat capacity at constant pressure, T is absolute temperature, or (2) U+pV, where U is internal energy, p is pressure and V is volume.	CF-44	
61		atmosphere_heat_diffusivity	m2 s-1	NA	CF-44	
62		atmosphere_horizontal_streamfunction	m2 s-1	Horizontal indicates that the streamfunction applies to a horizontal velocity field on a particular vertical level.	CF-44	
63		atmosphere_horizontal_velocity_potential	m2 s-1	A velocity is a vector quantity. ''Horizontal'' indicates that the velocity potential applies to a horizontal velocity field on a particular vertical level.	CF-44	
64		atmosphere_hybrid_height_coordinate	m	See Appendix D of the CF convention for information about dimensionless vertical coordinates.	CF-44	
65		atmosphere_hybrid_sigma_pressure_coordinate	1	See Appendix D of the CF convention for information about dimensionless vertical coordinates.	CF-44	
66		atmosphere_kinetic_energy_content	J m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.	CF-44	
67		atmosphere_level_of_free_convection	m	The level of free convection is the altitude where the temperature of the environment decreases faster than the moist adiabatic lapse rate of a saturated air parcel at the same level.  It is calculated by lifting a parcel of air dry adiabatically to the LCL (lifted condensation level), then moist adiabatically until the parcel temperature is equal to the ambient temperature. A coordinate variable of original_air_pressure_of_lifted_parcel should be specified to indicate the starting height of the lifted parcel.	CF-44	
68		atmosphere_level_of_free_convection_wrt_surface	m	The level of free convection is the altitude where the temperature of the environment decreases faster than the moist adiabatic lapse rate of a saturated air parcel at the same level.  It is calculated by lifting a parcel of air dry adiabatically from the surface to the LCL (lifting condensation level), then moist adiabatically until the parcel temperature is equal to the ambient temperature.	CF-44	
69		atmosphere_lifting_condensation_level	m	The lifting condensation level is the height at which the relative humidity of an air parcel cooled by dry adiabatic lifting would reach 100%. A coordinate variable of original_air_pressure_of_lifted_parcel should be specified to indicate the starting height of the lifted parcel.	CF-44	
70		atmosphere_lifting_condensation_level_wrt_surface	m	The lifting condensation level is the height at which the relative humidity of an air parcel cooled by dry adiabatic lifting from the surface would reach 100%.	CF-44	
71		atmosphere_ln_pressure_coordinate	1	ln_X means natural logarithm of X. X must be dimensionless. See Appendix D of the CF convention for information about dimensionless vertical coordinates.	CF-44	
72		atmosphere_mass_content_of_acetic_acid	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The chemical formula for acetic_acid is CH3COOH. The IUPAC name for acetic acid is ethanoic acid.	CF-44	
73		atmosphere_mass_content_of_aceto_nitrile	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The chemical formula for aceto-nitrile is CH3CN. The IUPAC name for aceto-nitrile is ethanenitrile.	CF-44	
74		atmosphere_mass_content_of_alkanes	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  Alkanes are saturated hydrocarbons, i.e. they do not contain any chemical double bonds.  Alkanes contain only hydrogen and carbon combined in the general proportions C(n)H(2n+2)	 ''alkanes'' is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkane species, e.g., methane and ethane.	CF-44	
75		atmosphere_mass_content_of_alkenes	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  Alkenes are unsaturated hydrocarbons as they contain chemical double bonds between adjacent carbon atoms.  Alkenes contain only hydrogen and carbon combined in the general proportions C(n)H(2n)	 ''alkenes'' is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkene species, e.g., ethene and propene.	CF-44	
76		atmosphere_mass_content_of_alpha_hexachlorocyclohexane	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The chemical formula for alpha_hexachlorocyclohexane is C6H6Cl6.	CF-44	
77		atmosphere_mass_content_of_alpha_pinene	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The chemical formula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene.	CF-44	
78		atmosphere_mass_content_of_ammonia	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The chemical formula for ammonia is NH3.	CF-44	
79		atmosphere_mass_content_of_ammonium_dry_aerosol_particles	kg m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. The mass is the total mass of the particles. ''Aerosol'' means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ''Dry aerosol particles'' means aerosol particles without any water uptake. The chemical formula for ammonium is NH4.	CF-44	
80		atmosphere_mass_content_of_anthropogenic_nmvoc_expressed_as_carbon	kg m-2	Content indicates a quantity per unit area. The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. ''nmvoc'' means non methane volatile organic compounds	 ''nmvoc'' is the term used in standard names to describe the group of chemical species having this classification that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models. Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. ''Anthropogenic'' means influenced, caused, or created by human activity. The phrase ''expressed_as'' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.	CF-44	
81		atmosphere_mass_content_of_aromatic_compounds	kg m-2	Content indicates a quantity per unit area.  The ''atmosphere content'' of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  Aromatic compounds in organic chemistry are compounds that contain at least one benzene ring of six carbon atoms joined by alternating single and double covalent bonds.  The simplest aromatic compound is benzene itself.  In standard names ''aromatic_compounds'' is the term used to describe the group of aromatic chemical species that  are represented within a given model.  The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.  Standard names exist for some individual aromatic species, e.g. benzene and xylene.	CF-44	
